COMPANY,TYPE,INDUSTRY,EVALUATION,CURRENCY,AV SYMBOL,CODE ,LINK
BAHLSEN ,Private,Consumer Goods,559 million,eur,,,
CAVENDISH & HARVEY,Private,Consumer Goods,23.6 million,usd,,,
DEVELEY,Private,Consumer Goods,361.92 million,usd,,,
DR OETKER,Private,Consumer Goods,10.9 billion,eur,,,
DR WOLFF,Private,Consumer Goods,278.8 million,eur,,,
FERRERO,Private,Consumer Goods,10.3 billion,eur,,,
FREIBERGER,Private,Consumer Goods,100 million,usd,,,
IKEA,Private,Consumer Goods,37.05 billion,eur,,,
LAMBERTZ,Private,Consumer Goods,100 million,usd,,,
MARS,Private,Consumer Goods,35 billion,usd,,,
SUBWAY,Private,Consumer Goods,10.41 billion,usd,,,
DM-Drogerie Markt,Private,Retailers,10.3 billion,eur,,,
REWE,Private,Retailers,57.8 billion,eur,,,
Spar International,Private,Retailers,34.5 billion,eur,,,
Arla,Private,Dairy,10.3 billion,eur,,,
DMK,Private,Dairy,1.5 billion,usd,,,
FrieslandCampina,Private,Dairy,11 billion,eur,,,
AMAGGI,Private,Commodities,3.5 billion,usd,,,
Asian Agri,Private,Commodities,,,,,
Cargill,Private,Commodities,114.7 billion,usd,,,
CENTRAL CIPTA MURDAYA,Private,Commodities,,,,,
DJARUM,Private,Commodities,,,,,
DTK OPPORTUNITY,Private,Commodities,,,,,
FANGIONO FAMILY,Private,Commodities,,,,,
GAMA PLANTATION,Private,Commodities,,,,,
HAYEL SAEED ANAM GROUP,Private,Commodities,10 billion,usd,,,
INDONUSA,Private,Commodities,,,,,
KORINDO,Private,Commodities,,,,,
Louis Dreyfus,Private,Commodities,36.5 billion,usd,,,
Musim Mas,Private,Commodities,,,,,
RIMBUNAN HIJAU,Private,Commodities,,,,,
SAMLING / GLENEALY,Private,Commodities,,,,,
TEE FAMILY / PROSPER,Private,Commodities,,,,,
2 Sisters,Private,Meat Producers,3.28 billion,gbp,,,
Danish Crown,Private,Meat Producers,62.02 billion,dkk,,,
MATABOI,Private,Meat Producers,398.6 million,usd,,,
COLGATE-PALMOLIVE ,Public,Consumer Goods,,usd,CL,NYSE: CL,"https://www.google.com/search?tbm=fin&ei=f4JCXfjdE4vTwQKE44XABg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKuyyw2TeACjhHh7OgAAAA&q=NYSE:+CL&oq=COLGATE-PALMOLIVE&gs_l=finance-immersive.1.0.81i5k1l3.23829.23829.0.27663.1.1.0.0.0.0.70.70.1.1.0....0...1c.2.64.finance-immersive..0.1.70....0.Wh_o6KQfISo#scso=_m4JCXcK8NczRwAL3-KbICA8:0,_w5FaXfXIPKvJrgTh57LwDQ8:0"
BURGER KING,Public,Consumer Goods,,usd,QSR,TSE: QSR,https://www.google.com/search?q=TSE:+QSR&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZOSzSzLU3KreADbhC5APQAAAA&tbm=fin#scso=_4h1EXc7QEY35wQKv3prACA6:0
WHITBREAD ,Public,Consumer Goods,,gbp,WTB.LON,LON: WTB,https://www.google.com/search?q=LON:+WTB&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrNTUipNeAAz0fw2OgAAAA&tbm=fin#scso=_BJJaXYXHDO2nrgT54b-YAQ6:0
DANONE ,Public,Consumer Goods,,eur,BN.PAR,EPA: BN,https://docs.google.com/spreadsheets/d/1bQgM-EDnf11_2KBUdygD8d2hizu_aSbdKLaRm8_XDQU/edit?ts=5d5a90c6#gid=0
DUNKIN’ DONUTS,Public,Consumer Goods,,usd,DNKN,NASDAQ: DNKN,https://www.google.com/search?tbm=fin&ei=LZJaXfHoOYPnrgS5rIKwBQ&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNM5LKys0Lkip4AI4uBIQ8AAAA&q=NASDAQ%3A+DNKN&oq=dunkin+&gs_l=finance-immersive.1.0.81l2.43517.46542.0.49555.11.9.2.0.0.0.131.856.6j3.9.0....0...1c.1.64.finance-immersive..0.10.781...81i8k1.0.FqhQuz3vomU#scso=_YJJaXeekHqStrgSry6WABw8:0
GENERAL MILLS,Public,Consumer Goods,,usd,GIS,NYSE: GIS,https://www.google.com/search?tbm=fin&ei=YJJaXeekHqStrgSry6WABw&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyknPLeQC7qTBEOgAAAA&q=NYSE%3A+GIS&oq=general+mills&gs_l=finance-immersive.1.0.81l3.32832.35173.0.36481.13.13.0.0.0.0.158.1138.10j2.12.0....0...1c.1.64.finance-immersive..1.12.1137....0.FsVQGPjm6W8#scso=_hZJaXb_uMoCHwPAP5YqzyAg8:0
HENKEL ,Public,Consumer Goods,,usd,HENOY,OTCMKTS: HENKY,"https://www.google.com/search?tbm=fin&ei=OoVCXaa3AYHEwQKQsZKYCA&stick=H4sIAAAAAAAAAONgecRoxi3w8sc9YSndSWtOXmNU5-IKzsgvd80rySypFJLkYoOy-KV4ubj10_UNU0qKk8pzMngAGGqKcjsAAAA&q=OTCMKTS:+HENKY&oq=HENKEL&gs_l=finance-immersive.1.0.81l3.21281.21281.0.25295.1.1.0.0.0.0.68.68.1.1.0....0...1c.2.64.finance-immersive..0.1.67....0.btzRNyFBDyM#scso=_VIVCXarxDMnIwQLfgqmIBw6:0,_oJJaXdPAMKbKrgSOuZeYAg6:0"
HERSHEY ,Public,Consumer Goods,,usd,HSY,NYSE: HSY,https://www.google.com/search?tbm=fin&ei=hZJaXb_uMoCHwPAP5YqzyAg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyzHOyeQAkBurnOgAAAA&q=NYSE%3A+HSY&oq=hershey&gs_l=finance-immersive.1.0.81l3.48949.49723.0.51263.7.7.0.0.0.0.189.756.5j2.7.0....0...1c.1.64.finance-immersive..0.7.756....0.cbXI1myvcpY#scso=_uZJaXYm2OMHHrgSm-7-QCw8:0
JOHNSON & JOHNSON ,Public,Consumer Goods,,usd,JNJ,NYSE: JNJ,"https://www.google.com/search?tbm=fin&ei=gOlDXf3BEILGwQL7o574Bg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyzE0KeAC2snMsOgAAAA&q=NYSE%3A+JNJ&oq=JOHNSON+%26+JOHNSON&gs_l=finance-immersive.1.0.81i5k1l3.21333.21333.0.23682.1.1.0.0.0.0.65.65.1.1.0....0...1c.2.64.finance-immersive..0.1.64....0.vV7OCWEPHls#scso=_mOlDXfOONMrIwAKlgpzYCA8:0,_6JJaXcnIJ-XnrgTAoZwY8:0"
KELLOGG ,Public,Consumer Goods,,usd,K,NYSE: K,https://www.google.com/search?tbm=fin&ei=mOlDXfOONMrIwAKlgpzYCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyLMyMeAAJW9u1OgAAAA&q=NYSE%3A+K&oq=kellog&gs_l=finance-immersive.1.0.81l3.44123.44697.0.45958.6.6.0.0.0.0.92.420.6.6.0....0...1c.1.64.finance-immersive..0.6.419....0.5MMZDE8xqrw#scso=_FJNaXYe1HsmtrgSy6JzACQ8:0
KRAFT HEINZ,Public,Consumer Goods,,usd,KHC,NASDAQ: KHC,https://www.google.com/search?tbm=fin&ei=x-lDXe2HK8LCwALP253wBg&stick=H4sIAAAAAAAAAONgecRowS3w8sc9YSn9SWtOXmPU5OIKzsgvd80rySypFJLmYoOyBKX4uXj10_UNDZPKjJKLTQzyeADCd2hZPQAAAA&q=NASDAQ%3A+KHC&oq=kraft&gs_l=finance-immersive.1.0.81l3.16160.16742.0.18166.5.5.0.0.0.0.84.332.5.5.0....0...1c.1.64.finance-immersive..0.5.332....0.UVhK65zJL44#scso=_JpNaXYilEe-grgSw3JvwAw8:0
L’ORÉAL ,Public,Consumer Goods,,eur,LOR.BER,EPA: OR,https://www.google.com/search?tbm=fin&ei=2ulDXbPxJI3DwQK6y7_wCA&stick=H4sIAAAAAAAAAONgecRoxi3w8sc9YSndSWtOXmNU5-IKzsgvd80rySypFJLkYoOy-KV4ubj10_UNU8oMsjLyLHkAgLf39DsAAAA&q=EPA%3A+OR&oq=l%27&gs_l=finance-immersive.1.0.81i5k1l3.17068.19951.0.21557.3.3.0.0.0.0.62.177.3.3.0....0...1c.1j2.64.finance-immersive..0.2.123...81.0.tu0uaJaYxL4#scso=_R5NaXaOVLOWhrgTAk5WICA6:0
MCDONALD’S ,Public,Consumer Goods,,usd,MCD,NYSE: MCD,https://www.google.com/search?tbm=fin&ei=8elDXcuPBI_UwALwm6D4Bg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKuyi5LzeABDwSuPOgAAAA&q=NYSE%3A+MCD&oq=mcdona&gs_l=finance-immersive.1.0.81l3.18936.21687.0.23097.7.7.0.0.0.0.67.364.6.6.0....0...1c.1j2.64.finance-immersive..1.5.306....0._XEFzJvkwpM#scso=_V5NaXfHhF-HnrgSH8ZHgBw8:0
MONDELEZ ,Public,Consumer Goods,,usd,MDLZ,NASDAQ: MDLZ,https://www.google.com/search?tbm=fin&ei=CepDXY6fBtHQwQLxg5j4Bg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNiqqK0_KSeQAIaoWrOgAAAA&q=NASDAQ%3A+MDLZ&oq=mondele&gs_l=finance-immersive.1.0.81l3.15295.16119.0.17129.7.7.0.0.0.0.69.380.6.6.0....0...1c.1.64.finance-immersive..1.6.380....0.fCELDPC6Rkc#scso=_dJNaXY3iDMeorgSki63YCA8:0
Deutsche Beteiligungs AG ,Public,Consumer Goods,,eur,DBAN.DEX,ETR: DBAN,https://www.google.com/search?tbm=fin&ei=G-pDXZahB4jEwAKE656oCA&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNM5LKskryjE14AHB5a6U8AAAA&q=ETR%3A+DBAN&oq=deutsche+bet&gs_l=finance-immersive.1.0.81l3.34947.36937.0.38469.12.12.0.0.0.0.68.726.12.12.0....0...1c.1.64.finance-immersive..0.12.724....0.z_KpvAMAf0g#scso=_hZNaXbP3PM2HwPAP7_yAgAQ6:0
NESTLÉ ,Public,Consumer Goods,,chf,NESNE.SWI,SWX: NESN,https://www.google.com/search?tbm=fin&ei=QupDXcSvHcPGwQKqg4ngCA&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNDSuMcotM0rN4ALwu3V88AAAA&q=SWX%3A+NESN&oq=nestle&gs_l=finance-immersive.1.0.81l3.17014.17653.0.18467.6.6.0.0.0.0.114.341.4j1.5.0....0...1c.1.64.finance-immersive..1.5.340....0.flXaI28grW4#scso=_oJNaXb2eI-z6qwHJyKe4Dg6:0
PEPSICO ,Public,Consumer Goods,,usd,PEP,NASDAQ: PEP,https://www.google.com/search?tbm=fin&ei=aOpDXZ7gC8akwQKksaTYCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyyuNzeQBWookMOgAAAA&q=NASDAQ%3A+PEP&oq=pepsico&gs_l=finance-immersive.1.0.81l3.1989.3029.0.4358.7.7.0.0.0.0.59.389.7.7.0....0...1c.1.64.finance-immersive..0.7.389....0.OFK2lDiuk8g#scso=_tJNaXffmKO-HwPAP-eeDcA8:0
PROCTER & GAMBLE,Public,Consumer Goods,,usd,PG,NYSE: PG,https://www.google.com/search?tbm=fin&ei=bepDXZbpIYvYwQLN07_QCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyDQryeAB8uRYvOgAAAA&q=NYSE%3A+PG&oq=procter&gs_l=finance-immersive.1.0.81l3.14967.15773.0.16824.7.7.0.0.0.0.105.515.6j1.7.0....0...1c.1.64.finance-immersive..0.7.513....0.8CRdbN6d3-Y#scso=_lZZaXcyiGe_GrgTN3I_YBw8:0
RECKITT BENCKISER ,Public,Consumer Goods,,gbp,RB.LON,LON: RB,https://www.google.com/search?tbm=fin&ei=f-pDXZzCCc_MwQKanIe4Bw&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNkrOLTHONeQC9RoP-OgAAAA&q=LON%3A+RB&oq=RECKITT+BENCKISER&gs_l=finance-immersive.1.0.81l3.17343.17343.0.19531.1.1.0.0.0.0.64.64.1.1.0....0...1c.2.64.finance-immersive..0.1.63....0.IQljq8hpTLM#scso=_xJZaXcT4PKjrrgSdhqGwCg6:0
REVLON ,Public,Consumer Goods,,usd,REV,NYSE: REV,"https://www.google.com/search?tbm=fin&ei=k-pDXaimLoGlwQL6lqaYBg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKuyCyuLeABWFVhqOgAAAA&q=NYSE%3A+REV&oq=revlon&gs_l=finance-immersive.1.0.81l2.15290.16240.0.17442.6.6.0.0.0.0.66.353.6.6.0....0...1c.1.64.finance-immersive..0.6.352....0.ZSINFyIm79Y#scso=_sOpDXcakNsfTwALGuIu4CQ8:0,_25ZaXf-6Eo-EwPAPmO250A88:0"
SMUCKERS,Public,Consumer Goods,,usd,SJM,NYSE: SJM,"https://www.google.com/search?tbm=fin&ei=pupDXaXfCszQwQKJ7KaYCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtySpJzeQBMEU0zOgAAAA&q=NYSE%3A+SJM&oq=smucker&gs_l=finance-immersive.1.0.81i5k1l3.47271.51833.0.53097.11.9.2.0.0.0.87.500.8.8.0....0...1c.1j2.64.finance-immersive..1.8.441.0..81.0.vTFffBFnO18#scso=_2-pDXb-XPJHcwQKfh7OYCQ8:0,_75ZaXcj5JcP4qwHgtIi4CA8:0"
STARBUCKS ,Public,Consumer Goods,,usd,SBUX,NASDAQ: SBUX,https://www.google.com/search?tbm=fin&ei=2-pDXb-XPJHcwQKfh7OYCQ&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtySgrNeQCM07tsOgAAAA&q=NASDAQ%3A+SBUX&oq=starbuck&gs_l=finance-immersive.1.0.81l3.17482.18518.0.19680.8.8.0.0.0.0.91.552.8.8.0....0...1c.1.64.finance-immersive..0.8.552....0.YJAb_KZIkC4#scso=_A5daXbaNHMiMrwTCubeYDQ8:0
UNILEVER,Public,Consumer Goods,,gbp,ULVR.LON,LON: ULVR,https://www.google.com/search?tbm=fin&ei=8OpDXbCtJIv5wQLhtJXgCA&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNii0MzdOqeACVUfOLOgAAAA&q=LON%3A+ULVR&oq=unilever&gs_l=finance-immersive.1.0.81l3.16355.17522.0.18692.8.8.0.0.0.0.104.540.7j1.8.0....0...1c.1.64.finance-immersive..0.8.539....0.mN0Xk91hLh4#scso=_LZdaXcaIKsORrgT6k6PoDw6:0
UPFIELD (KKR),Public,Consumer Goods,,usd,KKR,NYSE: KKR,"https://www.google.com/search?tbm=fin&ei=BOtDXRfLyMECg8iiwAc&stick=H4sIAAAAAAAAAONgecRoxi3w8sc9YSndSWtOXmNU5-IKzsgvd80rySypFJLkYoOy-KV4ubj10_UNU8qMsy2S43kATrxxvzsAAAA&q=NYSE%3A+KKR&oq=kkr&gs_l=finance-immersive.1.0.81l3.18165.22635.0.23674.10.8.0.2.2.0.77.500.8.8.0....0...1c.1.64.finance-immersive..0.6.370....0.hq3WUPG37pE#scso=_HOtDXZncH8POwQLdj7ngBg8:0,_UZdaXc3nG4SNrwTL6IrQBQ8:0"
YUM! BRANDS ,Public,Consumer Goods,,usd,YUM,NYSE: YUM,https://www.google.com/search?tbm=fin&ei=HOtDXZncH8POwQLdj7ngBg&stick=H4sIAAAAAAAAAONgecRoyi3w8sc9YSmdSWtOXmNU4-IKzsgvd80rySypFJLgYoOy-KR4uLj0c_UNzKtyLAtTeAD7XVOUOgAAAA&q=NYSE%3A+YUM&oq=yum&gs_l=finance-immersive.1.0.81l3.17691.17889.0.18988.3.3.0.0.0.0.122.251.2j1.3.0....0...1c.1.64.finance-immersive..0.3.251....0.pyYSJnPewMM#scso=_ZpdaXZfSCOjHrgS28pCgCQ8:0
Ahold Delhaize ,Public,Retailers,,eur,AHOB.DEX,AMS: AD,https://www.google.com/search?tbm=fin&ei=MOtDXaHkEorOwALVga_YCA&stick=H4sIAAAAAAAAAONgecRozi3w8sc9YSm9SWtOXmPU4OIKzsgvd80rySypFJLiYoOyBKT4uHj00_UNjdPNs5Iqi5J5ABL3PFk8AAAA&q=AMS%3A+AD&oq=ahold+de&gs_l=finance-immersive.1.0.81i5k1l3.16173.17243.0.24085.8.8.0.0.0.0.67.474.8.8.0....0...1c.1.64.finance-immersive..0.8.474...81.0.kgiNc4burlo#scso=_fZdaXbDrL8HHrgSm-7-QCw6:0
